metric	value
n_variants	6019
last_exon_col	last.exon
dist_to_start_col	PTC.2.start
mutated_exon_length_col	length.mutated.exon
penult_last50_col	penultimate.exon
n_last_exon_parse_missing	0
n_dist_to_start_missing	0
n_mutated_exon_length_missing	0
n_penult_last50_parse_missing	0
threshold_start_proximal_nt	150
threshold_long_exon_nt	407
score_last_exon	0.0
score_start_proximal	0.12
score_long_exon	0.41
score_50nt_rule	0.2
score_trigger_NMD	0.65
class_threshold_sensitive_gt	0.52
class_threshold_escape_lt	0.25
rule__last_exon	1215
rule__start_proximal	569
rule__long_exon	416
rule__50nt_rule	232
rule__trigger_NMD	3587
rule__missing_last_exon	0
rule__missing_dist_to_start	0
rule__missing_mutated_exon_length	0
rule__missing_penult_last50	0
class__sensitive	3587
class__intermediate	416
class__escape	2016
class__missing	0
score_median	0.65
score_mean	0.43475494268150855
